编号,Aligner material,Alveolar height,Planned Intrusion (mm),PDL_max (kPa),牙槽脊顶应力 (Mpa),牙槽脊顶形变 (mm),Intrusion Efficacy,Disp_Z_17,Disp_Z_16,Disp_Z_15,Disp_Z_14,Disp_Z_13,Disp_Z_12,Disp_Z_11,Disp_X_17,Disp_X_16,Disp_X_15,Disp_X_14,Disp_X_13,Disp_X_12,Disp_X_11,Disp_Y_17,Disp_Y_16,Disp_Y_15,Disp_Y_14,Disp_Y_13,Disp_Y_12,Disp_Y_11
PET-07,PETG(hard),0.66,0.18,25.513,0.448,0.0999,0.533588888888889,0.096046,-0.03247,-0.026625,-0.017928,-0.014622,-0.010848,-0.011535,-0.025563,0.008508,0.00693,0.004503,0.003807,0.002858,0.003095,0.010523,0.005374,0.005042,0.003077,0.001698,0.012551,0.008725
PET-08,PETG(hard),0.66,0.2,29.357,0.476,0.1077,0.51529,0.103058,-0.032358,-0.02586,-0.017954,-0.013885,-0.012627,-0.012023,-0.025968,0.008628,0.006867,0.004838,0.003516,0.003408,0.003064,0.017602,0.00435,0.003157,0.003112,0.002665,0.011364,0.010154
PET-09,PETG(hard),0.58,0.1,12.938,0.213,0.0524,0.48601,0.048601,-0.017907,-0.010394,-0.01038,-0.006008,-0.004778,-0.006168,-0.01598,0.006083,0.003312,0.003346,0.001925,0.001532,0.001963,0.011255,0.003354,0.001931,0.002261,0.001066,0.004359,0.008196
PET-10,PETG(hard),0.58,0.15,20.207,0.342,0.0831,0.511846666666667,0.076777,-0.027981,-0.016054,-0.01248,-0.01225,-0.006578,-0.009185,-0.02508,0.009265,0.005199,0.004138,0.003886,0.002193,0.003099,0.019424,0.005427,0.002247,0.001882,0.00224,0.013936,0.01146
PET-11,PETG(hard),0.58,0.18,25.695,0.433,0.1002,0.5243,0.094374,-0.032742,-0.023924,-0.01584,-0.013787,-0.010294,-0.010662,-0.030684,0.011004,0.007942,0.005253,0.004379,0.003348,0.003509,0.014138,0.007229,0.00515,0.002977,0.00306,0.011819,0.014625
PET-12,PETG(hard),0.58,0.2,29.013,0.469,0.1074,0.506845,0.101369,-0.029783,-0.024712,-0.018648,-0.013458,-0.011796,-0.011735,-0.032979,0.009958,0.00824,0.005918,0.004385,0.004009,0.003886,0.013271,0.004743,0.003503,0.004207,0.001808,0.018339,0.012385
PET-13,PETG(hard),0.5,0.1,15.792,0.203,0.0534,0.48214,0.048214,-0.017964,-0.010899,-0.010557,-0.006185,-0.00466,-0.005902,-0.019156,0.007306,0.004465,0.004231,0.00245,0.001936,0.002448,0.012672,0.004421,0.003326,0.002423,0.001305,0.00518,0.009157
PET-14,PETG(hard),0.5,0.15,24.064,0.31,0.0803,0.48828,0.073242,-0.024894,-0.013818,-0.012959,-0.012249,-0.006858,-0.008048,-0.029976,0.010143,0.005647,0.005191,0.004921,0.00286,0.003347,0.013346,0.006861,0.004288,0.002235,0.002649,0.012347,0.011723
PET-15,PETG(hard),0.5,0.18,28.737,0.389,0.1003,0.492344444444444,0.088622,-0.0331,-0.023009,-0.016055,-0.014088,-0.011082,-0.010391,-0.036921,0.013717,0.009569,0.006544,0.005634,0.004653,0.004154,0.028895,0.008812,0.004715,0.003987,0.00295,0.009441,0.018729
PET-16,PETG(hard),0.5,0.2,31.126,0.432,0.1094,0.492445,0.098489,-0.031308,-0.022673,-0.016157,-0.013129,-0.011897,-0.010515,-0.038993,0.012638,0.009142,0.006581,0.005396,0.004786,0.004315,0.027484,0.00606,0.007075,0.003113,0.003327,0.019491,0.018194
