±àºÅ,Aligner material,Alveolar height,Planned Intrusion (mm),PDL_max (kPa),ÑÀ²Û¼¹¶¥Ó¦Á¦ (Mpa),ÑÀ²Û¼¹¶¥ÐÎ±ä (mm),Intrusion Efficacy,Disp_Z_17,Disp_Z_16,Disp_Z_15,Disp_Z_14,Disp_Z_13,Disp_Z_12,Disp_Z_11,Disp_X_17,Disp_X_16,Disp_X_15,Disp_X_14,Disp_X_13,Disp_X_12,Disp_X_11,Disp_Y_17,Disp_Y_16,Disp_Y_15,Disp_Y_14,Disp_Y_13,Disp_Y_12,Disp_Y_11
MLT-14,MultiLayer,50%,0.15 ,17.632,0.316 ,0.079 ,50.3%,0.07538 ,-0.02263 ,-0.01759 ,-0.01173 ,-0.00860 ,0.00023 ,0.00118 ,-0.01954 ,0.00600 ,0.00485 ,0.00295 ,0.00226 ,-0.00006 ,-0.00030 ,0.01341 ,0.00365 ,0.00220 ,0.00159 ,0.00114 ,0.00510 ,0.00937 
MLT-15,MultiLayer,50%,0.18 ,20.188,0.328 ,0.082 ,43.5%,0.07826 ,-0.01992 ,-0.01619 ,-0.01184 ,-0.00823 ,-0.00107 ,-0.00215 ,-0.02005 ,0.00508 ,0.00399 ,0.00305 ,0.00220 ,0.00027 ,0.00056 ,0.01319 ,0.00308 ,0.00290 ,0.00142 ,0.00144 ,0.01065 ,0.00702 
MLT-16,MultiLayer,50%,0.20 ,24.225,0.402 ,0.099 ,47.2%,0.09440 ,-0.02423 ,-0.01611 ,-0.01484 ,-0.01195 ,-0.00172 ,0.00170 ,-0.02410 ,0.00666 ,0.00433 ,0.00410 ,0.00323 ,0.00044 ,-0.00042 ,0.01786 ,0.00383 ,0.00343 ,0.00177 ,0.00210 ,0.01269 ,0.01108 
PET-01,PETG(hard),100%,0.10 ,10.345,0.266 ,0.055 ,53.1%,0.05313 ,-0.01931 ,-0.01151 ,-0.01127 ,-0.00656 ,-0.00512 ,-0.00636 ,-0.01011 ,0.00388 ,0.00251 ,0.00298 ,0.00210 ,0.00160 ,0.00220 ,0.00756 ,0.00259 ,0.00158 ,0.00205 ,0.00161 ,0.00720 ,0.00597 
PET-02,PETG(hard),100%,0.15 ,17.96,0.407 ,0.081 ,53.1%,0.07969 ,-0.02760 ,-0.01612 ,-0.01375 ,-0.01346 ,-0.00736 ,-0.00895 ,-0.01414 ,0.00608 ,0.00357 ,0.00352 ,0.00414 ,0.00224 ,0.00304 ,0.00721 ,0.00267 ,0.00283 ,0.00171 ,0.00289 ,0.00892 ,0.00966 
PET-03,PETG(hard),100%,0.18 ,22.665,0.490 ,0.096 ,52.5%,0.09454 ,-0.03310 ,-0.02467 ,-0.01680 ,-0.01407 ,-0.01114 ,-0.01128 ,-0.01734 ,0.00689 ,0.00525 ,0.00444 ,0.00451 ,0.00338 ,0.00381 ,0.00778 ,0.00344 ,0.00286 ,0.00195 ,0.00336 ,0.00879 ,0.01174 
PET-04,PETG(hard),100%,0.20 ,25.797,0.541 ,0.106 ,51.9%,0.10385 ,-0.03235 ,-0.02458 ,-0.01822 ,-0.01441 ,-0.01210 ,-0.01138 ,-0.01852 ,0.00667 ,0.00496 ,0.00496 ,0.00481 ,0.00414 ,0.00380 ,0.00859 ,0.00358 ,0.00369 ,0.00249 ,0.00259 ,0.01171 ,0.01020 
PET-05,PETG(hard),66%,0.10 ,12.136,0.241 ,0.056 ,53.8%,0.05379 ,-0.01842 ,-0.01103 ,-0.01173 ,-0.00708 ,-0.00503 ,-0.00639 ,-0.01331 ,0.00457 ,0.00278 ,0.00297 ,0.00181 ,0.00130 ,0.00165 ,0.00786 ,0.00252 ,0.00150 ,0.00230 ,0.00112 ,0.00743 ,0.00577 
PET-06,PETG(hard),66%,0.15 ,20.141,0.364 ,0.082 ,52.8%,0.07917 ,-0.02587 ,-0.01491 ,-0.01271 ,-0.01397 ,-0.00746 ,-0.00903 ,-0.02039 ,0.00662 ,0.00383 ,0.00342 ,0.00353 ,0.00190 ,0.00227 ,0.00867 ,0.00497 ,0.00279 ,0.00270 ,0.00176 ,0.00528 ,0.00993 
PET-07,PETG(hard),66%,0.18 ,25.513,0.448 ,0.100 ,53.4%,0.09605 ,-0.03247 ,-0.02663 ,-0.01793 ,-0.01462 ,-0.01085 ,-0.01154 ,-0.02556 ,0.00851 ,0.00693 ,0.00450 ,0.00381 ,0.00286 ,0.00310 ,0.01052 ,0.00537 ,0.00504 ,0.00308 ,0.00170 ,0.01255 ,0.00873 
PET-08,PETG(hard),66%,0.20 ,29.357,0.476 ,0.108 ,51.5%,0.10306 ,-0.03236 ,-0.02586 ,-0.01795 ,-0.01389 ,-0.01263 ,-0.01202 ,-0.02597 ,0.00863 ,0.00687 ,0.00484 ,0.00352 ,0.00341 ,0.00306 ,0.01760 ,0.00435 ,0.00316 ,0.00311 ,0.00267 ,0.01136 ,0.01015 
PET-09,PETG(hard),58%,0.10 ,12.938,0.213 ,0.052 ,48.6%,0.04860 ,-0.01791 ,-0.01039 ,-0.01038 ,-0.00601 ,-0.00478 ,-0.00617 ,-0.01598 ,0.00608 ,0.00331 ,0.00335 ,0.00193 ,0.00153 ,0.00196 ,0.01126 ,0.00335 ,0.00193 ,0.00226 ,0.00107 ,0.00436 ,0.00820 
PET-10,PETG(hard),58%,0.15 ,20.207,0.342 ,0.083 ,51.2%,0.07678 ,-0.02798 ,-0.01605 ,-0.01248 ,-0.01225 ,-0.00658 ,-0.00919 ,-0.02508 ,0.00927 ,0.00520 ,0.00414 ,0.00389 ,0.00219 ,0.00310 ,0.01942 ,0.00543 ,0.00225 ,0.00188 ,0.00224 ,0.01394 ,0.01146 
PET-11,PETG(hard),58%,0.18 ,25.695,0.433 ,0.100 ,52.4%,0.09437 ,-0.03274 ,-0.02392 ,-0.01584 ,-0.01379 ,-0.01029 ,-0.01066 ,-0.03068 ,0.01100 ,0.00794 ,0.00525 ,0.00438 ,0.00335 ,0.00351 ,0.01414 ,0.00723 ,0.00515 ,0.00298 ,0.00306 ,0.01182 ,0.01463 
PET-12,PETG(hard),58%,0.20 ,29.013,0.469 ,0.107 ,50.7%,0.10137 ,-0.02978 ,-0.02471 ,-0.01865 ,-0.01346 ,-0.01180 ,-0.01174 ,-0.03298 ,0.00996 ,0.00824 ,0.00592 ,0.00439 ,0.00401 ,0.00389 ,0.01327 ,0.00474 ,0.00350 ,0.00421 ,0.00181 ,0.01834 ,0.01239 
PET-13,PETG(hard),50%,0.10 ,15.792,0.203 ,0.053 ,48.2%,0.04821 ,-0.01796 ,-0.01090 ,-0.01056 ,-0.00619 ,-0.00466 ,-0.00590 ,-0.01916 ,0.00731 ,0.00447 ,0.00423 ,0.00245 ,0.00194 ,0.00245 ,0.01267 ,0.00442 ,0.00333 ,0.00242 ,0.00131 ,0.00518 ,0.00916 
PET-14,PETG(hard),50%,0.15 ,24.064,0.310 ,0.080 ,48.8%,0.07324 ,-0.02489 ,-0.01382 ,-0.01296 ,-0.01225 ,-0.00686 ,-0.00805 ,-0.02998 ,0.01014 ,0.00565 ,0.00519 ,0.00492 ,0.00286 ,0.00335 ,0.01335 ,0.00686 ,0.00429 ,0.00224 ,0.00265 ,0.01235 ,0.01172 
PET-15,PETG(hard),50%,0.18 ,28.737,0.389 ,0.100 ,49.2%,0.08862 ,-0.03310 ,-0.02301 ,-0.01606 ,-0.01409 ,-0.01108 ,-0.01039 ,-0.03692 ,0.01372 ,0.00957 ,0.00654 ,0.00563 ,0.00465 ,0.00415 ,0.02890 ,0.00881 ,0.00472 ,0.00399 ,0.00295 ,0.00944 ,0.01873 
PET-16,PETG(hard),50%,0.20 ,31.126,0.432 ,0.109 ,49.2%,0.09849 ,-0.03131 ,-0.02267 ,-0.01616 ,-0.01313 ,-0.01190 ,-0.01052 ,-0.03899 ,0.01264 ,0.00914 ,0.00658 ,0.00540 ,0.00479 ,0.00432 ,0.02748 ,0.00606 ,0.00708 ,0.00311 ,0.00333 ,0.01949 ,0.01819 
